Student_Size,Tuition_In_State,Tuition_Out_State,Female_Share,Race_White,Race_Black,Race_Hispanic,Race_Asian,Race_AIAN,Race_NHPI,Race_Two_Or_More,Grad_Rate,School_Name,City,State,id
3828.0,38144.0,38144.0,0.6588785047,0.8574,0.0447,0.0468,0.0133,0.0018,0.0013,0.0214,0.788,Samford University,Birmingham,AL,102049
34.0,4800.0,4800.0,0.5220338983,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,Selma University,Selma,AL,102058
3191.0,5067.0,8877.0,0.5901502504,0.5099,0.3867,0.0505,0.0063,0.0028,0.0009,0.0342,0.2224,Shelton State Community College,Tuscaloosa,AL,102067
1494.0,5472.0,9536.0,0.627195836,0.6426,0.0763,0.2242,0.0067,0.004,0.0013,0.0388,0.4364,Snead State Community College,Boaz,AL,102076
8540.0,9676.0,18652.0,0.6229367631,0.6091,0.2203,0.0521,0.0398,0.006,0.0013,0.0451,0.5006,University of South Alabama,Mobile,AL,102094
850.0,23270.0,23270.0,0.6452599388,0.5718,0.1341,0.0965,0.0129,0.0082,0.0,0.0188,0.5882,Spring Hill College,Mobile,AL,102234
761.0,11392.0,11392.0,0.4610051993,0.0749,0.8581,0.0053,0.0013,0.0,0.0,0.0,0.3264,Stillman College,Tuscaloosa,AL,102270
782.0,15650.0,15650.0,0.4897540984,0.0499,0.7788,0.0844,0.0013,0.0038,0.0013,0.0141,0.5119,Talladega College,Talladega,AL,102298
1584.0,4890.0,8700.0,0.5389282103,0.1843,0.7178,0.0499,0.0095,0.0025,0.0006,0.0303,0.1905,H Councill Trenholm State Community College,Montgomery,AL,102313
10089.0,9792.0,19584.0,0.6510154346,0.5305,0.3195,0.0474,0.0076,0.0028,0.0013,0.0426,0.4619,Troy University,Troy,AL,102368
2367.0,23440.0,23440.0,0.6509505703,0.0072,0.9248,0.0017,0.003,0.0025,0.0004,0.0351,0.6184,Tuskegee University,Tuskegee,AL,102377
136.0,18900.0,18900.0,0.2394366197,0.3456,0.2794,0.1324,0.0,0.0147,0.0,0.0147,,United States Sports Academy,Daphne,AL,102395
2189.0,4678.0,8234.0,0.6496531219,0.7437,0.1759,0.0306,0.0046,0.0023,0.0014,0.0402,0.3914,Bevill State Community College,Jasper,AL,102429
6916.0,7566.0,21693.0,0.5987699877,0.4863,0.0369,0.1134,0.1252,0.0535,0.0068,0.1163,0.2944,University of Alaska Anchorage,Anchorage,AK,102553
34.0,10930.0,10930.0,,0.8529,0.0294,0.0294,0.0,0.0,0.0,0.0882,,Alaska Bible College,Palmer,AK,102580
4027.0,8640.0,22752.0,0.5940482875,0.5309,0.0335,0.0976,0.0313,0.1331,0.006,0.1065,0.3532,University of Alaska Fairbanks,Fairbanks,AK,102614
920.0,6960.0,21096.0,0.6978557505,0.538,0.0109,0.0946,0.0641,0.1065,0.0033,0.1424,0.2821,University of Alaska Southeast,Juneau,AK,102632
400.0,20760.0,20760.0,0.6301369863,0.3325,0.0275,0.09,0.07,0.2325,0.015,0.115,0.4118,Alaska Pacific University,Anchorage,AK,102669
452.0,,,0.2865168539,0.4978,0.0155,0.0288,0.0088,0.2478,0.0066,0.0752,0.8579,Alaska Vocational Technical Center,Seward,AK,102711
2277.0,18678.0,18678.0,0.7612694562,0.3808,0.0839,0.2306,0.0413,0.0979,0.0347,0.0913,0.5621,Charter College,Anchorage,AK,102845
255.0,,,0.8221153846,0.251,0.102,0.0824,0.149,0.2549,0.0392,0.1137,0.6777,Alaska Career College,Anchorage,AK,103501
213.0,,,0.9449724862,0.3099,0.0469,0.5023,0.0188,0.0188,0.0,0.0986,0.6767,Empire Beauty School-Tucson,Tucson,AZ,103741
1087.0,,,0.8211581292,0.1536,0.0791,0.5667,0.023,0.0524,0.0018,0.0092,0.5376,Carrington College-Phoenix North,Phoenix,AZ,103893
492.0,,,0.8211581292,0.2602,0.0833,0.4451,0.0183,0.0589,0.0041,0.0061,0.495,Carrington College-Mesa,Mesa,AZ,103909
437.0,,,0.8211581292,0.1396,0.0664,0.6979,0.0229,0.0229,0.0069,0.0137,0.5947,Carrington College-Tucson,Tucson,AZ,103927
49.0,,,,0.2449,0.1224,0.4898,0.0204,0.0,0.0,0.1224,0.5116,Arizona Academy of Beauty,Tucson,AZ,103954
513.0,,,0.5105920695,0.2671,0.0955,0.4503,0.0019,0.117,0.0039,0.0624,0.5225,Miller-Motte College-Arizona Automotive Institute,Glendale,AZ,103963
714.0,,,0.7960954447,0.1919,0.1218,0.3291,0.0224,0.063,0.0056,0.0084,0.5355,Brookline College-Phoenix,Phoenix,AZ,104090
64398.0,12051.0,32193.0,0.5568306611,0.435,0.0425,0.2603,0.0908,0.0104,0.002,0.0498,0.6737,Arizona State University Campus Immersion,Tempe,AZ,104151
6198.0,3020.0,9830.0,0.5322978304,0.1118,0.0123,0.738,0.0087,0.0108,0.0006,0.0153,0.2255,Arizona Western College,Yuma,AZ,104160
40769.0,13626.0,41095.0,0.5628539071,0.4721,0.0431,0.2762,0.0495,0.0151,0.0022,0.0498,0.6692,University of Arizona,Tucson,AZ,104179
4892.0,2250.0,4500.0,0.5983221477,0.3136,0.0542,0.4231,0.0168,0.0219,0.0057,0.0243,0.2005,Central Arizona College,Coolidge,AZ,104346
88.0,,,,0.4432,0.0227,0.2159,0.0227,0.0227,0.0114,0.0,0.75,Charles of Italy Beauty College,Lake Havasu City,AZ,104391
3007.0,2232.0,6000.0,0.5676779463,0.3389,0.0452,0.5101,0.0153,0.0057,0.004,0.0442,0.2775,Cochise County Community College District,Sierra Vista,AZ,104425
98.0,,,0.9477947795,0.102,0.1735,0.2959,0.0204,0.051,0.0,0.0408,0.4102,Empire Beauty School-Chandler,Chandler,AZ,104443
388.0,,,0.956622773,0.4021,0.1134,0.3711,0.0206,0.0155,0.0,0.0412,0.7227,Avalon Institute-Mesa,Mesa,AZ,104568
3058.0,2352.0,9552.0,0.5723830735,0.5948,0.0249,0.2263,0.0082,0.068,0.0049,0.0131,0.4344,Eastern Arizona College,Thatcher,AZ,104577
3245.0,42204.0,42204.0,0.1816434407,0.5569,0.0206,0.1569,0.0666,0.0055,0.0052,0.0801,0.7017,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,104586
,,,,,,,,,,,,The School of Architecture,Scottsdale,AZ,104665
10180.0,2358.0,8958.0,0.5678741782,0.3394,0.0659,0.4528,0.0455,0.0128,0.0016,0.0485,0.144,Glendale Community College,Glendale,AZ,104708
68619.0,17450.0,17450.0,0.743284234,0.4773,0.158,0.2424,0.0284,0.0088,0.0059,0.0471,0.4404,Grand Canyon University,Phoenix,AZ,104717
3473.0,2358.0,8958.0,0.6181818182,0.2525,0.1109,0.5189,0.0348,0.0233,0.0029,0.0403,0.1955,GateWay Community College,Phoenix,AZ,105145
12049.0,2358.0,8958.0,0.545336451,0.4161,0.0622,0.3601,0.04,0.0331,0.0036,0.0502,0.1556,Mesa Community College,Mesa,AZ,105154
2750.0,2136.0,7248.0,0.6301531213,0.6022,0.0171,0.2873,0.0142,0.0138,0.004,0.0469,0.2757,Mohave Community College,Kingman,AZ,105206
567.0,,,0.0387364921,0.5732,0.0459,0.1499,0.0088,0.0229,0.0035,0.1411,0.6416,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Avondale,AZ,105215
1507.0,1410.0,1410.0,0.634746922,0.0033,0.0013,0.0,0.0013,0.9907,0.0,0.0007,0.1256,Dine College,Tsaile,AZ,105297
23041.0,12652.0,28900.0,0.6385814497,0.5443,0.0292,0.265,0.0383,0.0347,0.0023,0.0561,0.5796,Northern Arizona University,Flagstaff,AZ,105330
1024.0,2428.0,9851.0,0.6224489796,0.3408,0.001,0.1553,0.0127,0.3428,0.002,0.0195,0.0781,Northland Pioneer College,Holbrook,AZ,105349
6952.0,2358.0,8958.0,0.6298529966,0.2222,0.0928,0.5718,0.0283,0.0214,0.0013,0.0335,0.1449,Phoenix College,Phoenix,AZ,105428
13869.0,2370.0,7686.0,0.5442428315,0.3288,0.0516,0.5198,0.0274,0.0164,0.003,0.0331,0.1956,Pima Community College,Tucson,AZ,105525
2619.0,,,0.8313038083,0.3276,0.1027,0.3765,0.0668,0.0221,0.0095,0.084,0.7083,Pima Medical Institute-Tucson,Tucson,AZ,105534
737.0,,,0.8781512605,0.1493,0.0204,0.5346,0.019,0.1737,0.0041,0.095,0.537,Pima Medical Institute-Albuquerque,Albuquerque,NM,105543
253.0,35685.0,35685.0,0.6956521739,0.6759,0.0316,0.0632,0.0514,0.004,0.004,0.004,0.4414,Prescott College,Prescott,AZ,105589
1271.0,,,0.0255924171,0.2769,0.1448,0.3674,0.0126,0.1652,0.011,0.0016,0.6684,Refrigeration School Inc,Phoenix,AZ,105659
4879.0,2358.0,8958.0,0.6757381715,0.3958,0.1373,0.337,0.0326,0.0176,0.0035,0.0465,0.039,Rio Salado College,Tempe,AZ,105668
15.0,,,,0.8667,0.0667,0.0,0.0667,0.0,0.0,0.0,0.9219,Roberto-Venn School of Luthiery,Phoenix,AZ,105677
4274.0,2358.0,8958.0,0.5318483783,0.4871,0.0442,0.2983,0.0325,0.0487,0.0007,0.0559,0.2309,Scottsdale Community College,Scottsdale,AZ,105747
2612.0,2358.0,8958.0,0.5937934229,0.1524,0.1436,0.5674,0.0214,0.0436,0.0015,0.041,0.1916,South Mountain Community College,Phoenix,AZ,105792
1127.0,34697.0,34697.0,0.2894736842,0.4845,0.1118,0.2671,0.0115,0.008,0.0115,0.0736,0.4321,Arizona Christian University,Glendale,AZ,105899
1791.0,,,0.0376457524,0.3674,0.0318,0.3685,0.0313,0.0419,0.0262,0.1106,0.5653,Universal Technical Institute of Arizona Inc,Avondale,AZ,106041
3732.0,2838.0,9344.0,0.5636287274,0.6109,0.0158,0.2337,0.0134,0.0263,0.0048,0.0399,0.3213,Yavapai College,Prescott,AZ,106148
4740.0,8455.0,19210.0,0.6464909992,0.5,0.2618,0.0304,0.0194,0.0089,0.0002,0.143,0.4169,University of Arkansas at Little Rock,Little Rock,AR,106245
1361.0,,,0.8375,0.6032,0.1058,0.0992,0.0852,0.0044,0.0022,0.0397,,University of Arkansas for Medical Sciences,Little Rock,AR,106263
373.0,8760.0,8760.0,0.2502857143,0.0107,0.9115,0.0456,0.0,0.0027,0.0,0.0161,0.0816,Arkansas Baptist College,Little Rock,AR,106306
111.0,,,0.9226519337,0.045,0.8649,0.0901,0.0,0.0,0.0,0.0,,Arkansas Beauty School-Little Rock,Little Rock,AR,106315
56.0,,,,0.6607,0.1429,0.125,0.0357,0.0,0.0,0.0357,0.587,Arkansas Beauty College,Russellville,AR,106324
563.0,31000.0,31000.0,0.4325068871,0.4671,0.087,0.0799,0.0142,0.0036,0.0,0.0195,0.4677,Lyon College,Batesville,AR,106342
111.0,,,0.3426966292,0.1622,0.8108,0.018,0.0,0.0,0.0,0.009,,Arkansas Technical School,North Little Rock,AR,106351
27312.0,9748.0,28772.0,0.5588193956,0.7456,0.0395,0.1097,0.0286,0.0082,0.0016,0.0462,0.6961,University of Arkansas,Fayetteville,AR,106397
1899.0,9019.0,17029.0,0.5960854093,0.0258,0.8994,0.0258,0.0026,0.0042,0.0032,0.0195,0.4057,University of Arkansas at Pine Bluff,Pine Bluff,AR,106412
1902.0,3216.0,5040.0,0.5981308411,0.8207,0.0557,0.0678,0.0042,0.0068,0.0016,0.0384,0.3819,Arkansas State University-Beebe,Beebe,AR,106449
7994.0,7754.0,13826.0,0.6108749161,0.6709,0.1454,0.0494,0.0099,0.0029,0.0006,0.0345,0.5388,Arkansas State University,Jonesboro,AR,106458
5993.0,8508.0,14502.0,0.5661364132,0.7187,0.0641,0.1178,0.0185,0.008,0.0005,0.0499,0.4877,Arkansas Tech University,Russellville,AR,106467
1868.0,8868.0,14718.0,0.537007874,0.5418,0.3003,0.0889,0.0016,0.0027,0.0016,0.0562,0.4124,University of Arkansas at Monticello,Monticello,AR,106485
47.0,,,0.9371980676,0.7872,0.1915,0.0213,0.0,0.0,0.0,0.0,0.3404,Arthur's Beauty College,Jacksonville,AR,106494
512.0,13593.0,13593.0,0.864,0.6035,0.291,0.0527,0.0078,0.002,0.002,0.0371,,Baptist Health College Little Rock,Little Rock,AR,106546
938.0,4584.0,7242.0,0.6108108108,0.8902,0.0235,0.0373,0.0032,0.0011,0.0021,0.0288,0.3362,Black River Technical College,Pocahontas,AR,106625
7426.0,10118.0,17258.0,0.6165561287,0.6476,0.1673,0.0768,0.0221,0.0031,0.0012,0.0498,0.5174,University of Central Arkansas,Conway,AR,106704
477.0,19680.0,19680.0,0.4609929078,0.5765,0.1698,0.0964,0.0042,0.0063,0.0021,0.0482,0.3716,Central Baptist College,Conway,AR,106713
835.0,3906.0,4746.0,0.6759776536,0.4563,0.1485,0.309,0.0036,0.0132,0.0012,0.0683,0.4667,Cossatot Community College of the University of Arkansas,De Queen,AR,106795
162.0,16440.0,16440.0,0.3921568627,0.7963,0.179,0.0185,0.0,0.0062,0.0,0.0,0.2876,Crowley's Ridge College,Paragould,AR,106810
492.0,3960.0,4980.0,0.6658823529,0.4431,0.4553,0.0203,0.0041,0.0081,0.0081,0.0407,0.4312,East Arkansas Community College,Forrest City,AR,106883
411.0,,,0.9667250438,0.5012,0.2798,0.0438,0.0073,0.0438,0.0,0.0633,0.5673,Paul Mitchell the School-Little Rock,North Little Rock,AR,106908
1706.0,5600.0,7280.0,0.5920873124,0.7978,0.1084,0.0651,0.0135,0.0094,0.0041,0.0,0.3091,National Park College,Hot Springs,AR,106980
788.0,3558.0,4542.0,0.6757425743,0.7855,0.0266,0.0926,0.0051,0.0102,0.0013,0.0698,0.5881,University of Arkansas Community College-Batesville,Batesville,AR,106999
3323.0,24888.0,24888.0,0.5682910089,0.7969,0.0503,0.0445,0.0135,0.0048,0.0009,0.037,0.7018,Harding University,Searcy,AR,107044
1491.0,7885.0,9882.0,0.5543415756,0.5889,0.2696,0.0698,0.0107,0.0087,0.002,0.0215,0.3869,Henderson State University,Arkadelphia,AR,107071
1094.0,36650.0,36650.0,0.505952381,0.6956,0.0704,0.0905,0.0411,0.0082,0.0027,0.0475,0.6889,Hendrix College,Conway,AR,107080
92.0,,,,0.663,0.1848,0.087,0.0,0.0,0.0,0.0652,0.5714,Hot Springs Beauty College,Hot Springs,AR,107099
80.0,,,0.8837209302,0.6875,0.275,0.0375,0.0,0.0,0.0,0.0,,Jefferson Regional School of Nursing,Pine Bluff,AR,107123
1415.0,30832.0,30832.0,0.6155844156,0.6848,0.0113,0.1187,0.0177,0.012,0.0021,0.0608,0.6898,John Brown University,Siloam Springs,AR,107141
244.0,,,0.9353932584,0.6107,0.0779,0.1926,0.0,0.0943,0.0041,0.0164,0.6724,Career Academy of Hair Design,Springdale,AR,107220
81.0,,,,0.6667,0.0494,0.1605,0.0247,0.0617,0.0,0.0247,0.619,Academy of Salon and Spa,Fort Smith,AR,107293
435.0,3048.0,4560.0,0.6394736842,0.3264,0.5701,0.0414,0.0,0.0046,0.0,0.0391,0.4596,Arkansas State University Mid-South,West Memphis,AR,107318
787.0,2570.0,4250.0,0.6414790997,0.5654,0.3418,0.0648,0.0025,0.0025,0.0013,0.0038,0.3267,Arkansas Northeastern College,Blytheville,AR,107327
58.0,,,0.4153846154,0.0345,0.9655,0.0,0.0,0.0,0.0,0.0,0.5217,New Tyler Barber College Inc,North Little Rock,AR,107442
1184.0,3168.0,5544.0,0.5589225589,0.815,0.0169,0.0921,0.0051,0.0042,0.0017,0.0422,0.3077,North Arkansas College,Harrison,AR,107460
217.0,5184.0,5184.0,0.3898305085,0.5253,0.0092,0.3779,0.0138,0.023,0.0507,0.0,0.7159,Northwest Technical Institute,Springdale,AR,107488
1612.0,32480.0,32480.0,0.4945054945,0.8158,0.0577,0.0596,0.0081,0.0031,0.0006,0.0354,0.679,Ouachita Baptist University,Arkadelphia,AR,107512
514.0,3568.0,4168.0,0.7444089457,0.6595,0.2451,0.0506,0.0039,0.0195,0.0039,0.0156,0.3529,Arkansas State University Three Rivers,Malvern,AR,107521
564.0,3820.0,6820.0,0.6975308642,0.9362,0.0142,0.0337,0.0018,0.0142,0.0,0.0,0.4534,Ozarka College,Melbourne,AR,107549
753.0,25950.0,25950.0,0.4859550562,0.4329,0.0584,0.1514,0.0106,0.008,0.0066,0.0412,0.4718,University of the Ozarks,Clarksville,AR,107558
1538.0,3504.0,4176.0,0.6057629339,0.7139,0.0949,0.1242,0.0078,0.0013,0.0,0.0527,0.4112,University of Arkansas Community College-Morrilton,Morrilton,AR,107585
842.0,13014.0,13014.0,0.6232439336,0.0439,0.7922,0.0356,0.0012,0.0,0.0202,0.0119,0.3146,Philander Smith University,Little Rock,AR,107600
595.0,3230.0,5270.0,0.6622073579,0.4017,0.5496,0.0269,0.0017,0.0034,0.0,0.0151,0.487,Phillips Community College of the University of Arkansas,Helena,AR,107619
748.0,4960.0,8260.0,0.6519208382,0.2393,0.5749,0.1537,0.0094,0.004,0.0013,0.0174,0.2163,Southeast Arkansas College,Pine Bluff,AR,107637
34.0,,,,0.5882,0.2647,0.0588,0.0,0.0,0.0,0.0294,0.4103,University of Aesthetics & Cosmetology,El Dorado,AR,107655
3791.0,4848.0,7248.0,0.6138361213,0.3574,0.4136,0.1298,0.0153,0.0047,0.0011,0.0393,0.2747,University of Arkansas-Pulaski Technical College,North Little Rock,AR,107664
697.0,3400.0,4960.0,0.6895810956,0.4821,0.3329,0.1205,0.0029,0.0072,0.0072,0.0359,0.4503,University of Arkansas Hope-Texarkana,Hope,AR,107725
475.0,3528.0,4104.0,0.650990099,0.7411,0.0147,0.1347,0.0126,0.0316,0.0042,0.0189,0.5889,University of Arkansas Community College Rich Mountain,Mena,AR,107743
107.0,,,0.9044585987,0.7196,0.0654,0.1495,0.0093,0.0467,0.0,0.0,0.6942,Paul Mitchell the School-Arkansas,Fayetteville,AR,107789
87.0,,,,0.8621,0.0805,0.0345,0.0,0.0115,0.0,0.0115,0.3636,Searcy Beauty College,Searcy,AR,107831
290.0,6246.0,6246.0,0.4725433526,0.1931,0.7552,0.0276,0.0034,0.0172,0.0,0.0,0.0844,Shorter College,N Little Rock,AR,107840
490.0,20330.0,20330.0,0.4346153846,0.7469,0.1245,0.0327,0.0061,0.002,0.002,0.0224,0.3984,Williams Baptist University,Walnut Ridge,AR,107877
879.0,3204.0,5364.0,0.7327935223,0.4869,0.3902,0.0717,0.0023,0.0023,0.0,0.0364,0.2673,South Arkansas College,El Dorado,AR,107974
2865.0,9820.0,15400.0,0.5619419643,0.623,0.2314,0.0565,0.0063,0.0073,0.0,0.0576,0.4553,Southern Arkansas University Main Campus,Magnolia,AR,107983
663.0,4685.0,4685.0,0.5644599303,0.5143,0.3861,0.0362,0.0015,0.0,0.0,0.0618,0.6215,Southern Arkansas University Tech,Camden,AR,107992
12.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7759,Velvatex College of Beauty Culture,Little Rock,AR,108065
4133.0,6906.0,13770.0,0.5636766334,0.578,0.0387,0.1914,0.0486,0.0223,0.0005,0.1074,0.3945,University of Arkansas-Fort Smith,Fort Smith,AR,108092
4131.0,28024.0,28024.0,0.5731981982,0.2583,0.1169,0.1997,0.0649,0.0044,0.0053,0.0605,0.4236,Academy of Art University,San Francisco,CA,108232
,,,,,,,,,,,,Academy of Chinese Culture and Health Sciences,Oakland,CA,108269
4274.0,1148.0,8684.0,0.542962963,0.1685,0.1975,0.2782,0.2267,0.0028,0.0047,0.0739,0.3487,College of Alameda,Alameda,CA,108667
7812.0,1156.0,9436.0,0.5370032811,0.1918,0.0188,0.7021,0.0301,0.0032,0.0055,0.0301,0.2823,Allan Hancock College,Santa Maria,CA,108807
169.0,39475.0,39475.0,0.5952380952,0.3491,0.1065,0.1243,0.0296,0.0,0.0,0.0828,0.6228,American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,108852
28.0,2896.0,2896.0,,0.0357,0.25,0.4286,0.0357,0.0,0.0714,0.0,,Berkeley School of Theology,Berkeley,CA,108861
,,,,,,,,,,,,American Film Institute Conservatory,Los Angeles,CA,108870
250.0,,,0.4931506849,0.112,0.08,0.744,0.04,0.008,0.0,0.0,0.6418,American Beauty College,West Covina,CA,108977
2066.0,,,0.7830323194,0.0639,0.1254,0.6326,0.121,0.0039,0.0097,0.0402,0.684,American Career College-Los Angeles,Los Angeles,CA,109040
25758.0,1288.0,12808.0,0.5744480345,0.3615,0.0696,0.329,0.1117,0.0056,0.0086,0.0521,0.2955,American River College,Sacramento,CA,109208
10905.0,1124.0,8228.0,0.588590057,0.1295,0.1346,0.6481,0.0343,0.0022,0.0014,0.0375,0.3048,Antelope Valley Community College District,Lancaster,CA,109350
